tld,potential_uses
eu,"europe,europeanunion,brussels,union,continent,trade,short,country"
eu.com,"europe,commerce,business,europeanunion,market,trade,country"
events,"party,conference,concert,festival,calendar,planning,tickets"
exchange,"trade,currency,stocks,crypto,barter,financial,markets"
executive,"ceo,management,leader,business,corporate,director,senior"
expert,"advice,professional,consultant,specialist,knowledge,skills"
exposed,"reveal,news,investigative,secrets,truth,uncover,whistleblower"
express,"fast,quick,delivery,shipping,service,urgent,rapid"
fail,"mistake,error,funny,bloopers,lessons,disaster,flop"
faith,"religion,belief,spiritual,god,church,hope,trust"
family,"home,parents,children,relatives,genealogy,love,together"
fan,"supporter,admirer,club,sports,music,celebrity,idol"
fans,"supporters,community,club,sports,music,celebrity,following"
farm,"agriculture,rural,crops,livestock,food,organic,countryside"
fashion,"style,clothing,apparel,design,trends,runway,models"
feedback,"reviews,opinions,survey,comments,customer,input,ratings"
film,"movies,cinema,hollywood,director,actor,production,video"
finance,"money,investment,banking,stocks,loans,personal,corporate"
financial,"money,advisor,planning,investment,assets,wealth,banking"
fish,"aquatic,marine,seafood,fishing,aquarium,ocean,river,short"
fishing,"angling,sport,hobby,lures,rods,reels,boats"
fit,"fitness,health,exercise,gym,workout,healthy,active,short"
fitness,"health,exercise,gym,workout,training,wellbeing,active"
flap,"wings,aviation,origami,movement,cover,fly,agile"
flights,"travel,airline,tickets,airport,booking,airfare,vacation"
florist,"flowers,bouquets,arrangements,roses,delivery,weddings,plants"
flowers,"plants,floral,garden,bloom,roses,bouquets,nature"
fm,"radio,music,broadcast,frequency,micronesia,short,country"
foo,"placeholder,tech,developer,example,test,bar,short"
food,"restaurant,recipes,cuisine,eating,dining,groceries,nutrition"
football,"sports,nfl,soccer,game,team,ball,league"
forex,"currency,trading,finance,exchange,money,markets,global"
forsale,"listings,classifieds,market,property,items,selling,buy"
forum,"discussion,community,online,boards,topics,questions,answers"
foundation,"charity,nonprofit,research,grants,organization,support,base"
fr,"france,french,paris,europe,eiffel,gaul,short,country"
fun,"entertainment,games,jokes,party,playful,enjoy,amusement,short"
fund,"investment,charity,money,donations,finance,grants,capital"
furniture,"home,decor,sofa,table,chairs,design,interior"
futbol,"soccer,sports,football,game,team,ball,league"
fyi,"information,notice,update,news,memo,alert,short"
gallery,"art,photos,images,exhibition,museum,collection,display"
game,"play,video,board,sports,fun,online,esports"
games,"play,fun,video,board,online,puzzles,entertainment"
garden,"plants,flowers,outdoor,landscaping,horticulture,nature,green"
gay,"lgbt,lgbtq,pride,community,queer,equality,rainbow"
gb.net,"uk,britain,network,tech,internet,greatbritain,country"
gdn,"global,domain,name,network,web,internet,generic"
gg,"guernsey,gaming,goodgame,channelislands,short,country"
gift,"present,surprise,birthday,holiday,voucher,donation,souvenir,short"
gifts,"presents,shopping,occasions,souvenirs,rewards,holiday,celebration"
gives,"charity,donations,support,philanthropy,contribute,help,aid"
giving,"charity,philanthropy,donations,nonprofit,support,contribute,benevolence"
glass,"windows,drinkware,art,mirrors,material,transparent,brittle"
global,"world,international,earth,universal,business,network,trade"
gmbh,"german,company,business,limited,liability,europe,corporation"
gold,"jewelry,metal,bullion,investment,precious,luxury,finance"
golf,"sports,clubs,course,pga,swing,links,tournament"
gr.com,"greece,commerce,business,europe,athens,hellenic,country"
graphics,"design,art,visuals,images,illustration,creative,digital"
gratis,"free,nocharge,complimentary,giveaway,costless,zero,bonus"
green,"eco,environment,nature,sustainable,color,organic,plants"
gripe,"complaints,issues,problems,feedback,consumer,vent,dissatisfaction"
group,"community,company,team,organization,association,club,collective"
guide,"information,manual,tour,instructions,help,directory,advice"
guitars,"music,instrument,strings,electric,acoustic,rock,band"
guru,"expert,master,teacher,advisor,mentor,specialist,sage"
hair,"salon,style,cut,color,barber,beauty,care"
hamburg,"germany,city,europe,port,local,business,travel"
haus,"home,house,german,realestate,building,property,wohnen"
health,"medical,wellness,fitness,doctor,hospital,nutrition,care"
healthcare,"medical,hospital,doctor,insurance,patients,nursing,pharma"
help,"support,assistance,advice,faq,customer,service,guidance"
hgo,"highgrowth,organization,business,startup,tech,short,brand"
hiphop,"music,rap,dance,culture,dj,urban,beats"
hockey,"sports,ice,nhl,puck,stick,game,league"
holdings,"investment,company,corporate,assets,finance,portfolio,group"
holiday,"vacation,travel,christmas,festive,celebration,break,leisure"
homes,"realestate,property,houses,housing,living,realty,family"
horse,"equestrian,racing,riding,animals,stable,farm,pony"
hospital,"medical,health,doctor,care,clinic,emergency,patient"
host,"webhosting,server,events,provider,cloud,data,hosting,short"
hosting,"web,server,cloud,domain,online,data,vps"
house,"home,realestate,property,building,family,dwelling,residence"
how,"guides,tutorials,instructions,information,help,learn,diy,short"
hu.net,"hungary,network,tech,internet,europe,budapest,country"
icu,"intensivecare,medical,hospital,iseeyou,personal,tech,short"
id,"indonesia,identity,identification,personal,online,asia,short,country"
im,"isleofman,instantmessaging,personal,europe,short,country"
immo,"realestate,property,german,french,italian,housing,investment"
immobilien,"realestate,german,property,housing,investment,land,apartments"
in,"india,inside,involved,current,asia,short,country"
in.net,"india,network,tech,internet,asia,connectivity,country"
inc,"incorporated,business,company,corporate,enterprise,organization"
industries,"manufacturing,business,sectors,production,trade,commercial,heavy"
info,"information,details,data,facts,news,resources,knowledge"
ing,"action,doing,active,dynamic,verb,process,ongoing"
ink,"tattoo,printing,writing,art,pen,design,publish,short"
institute,"education,research,training,organization,academic,learning,professional"
insure,"insurance,protection,coverage,policy,risk,financial,security"
international,"global,world,foreign,trade,business,relations,travel"
investments,"finance,stocks,assets,money,portfolio,funds,wealth"
io,"tech,startup,developer,gaming,inputoutput,britishindianocean,short,country"
irish,"ireland,culture,celtic,dublin,europe,stpatricks,green,country"
is,"iceland,truth,statement,fact,confirmation,existence,short,country"
jetzt,"now,german,instant,current,live,immediate,time"
jewelry,"gems,rings,necklaces,bracelets,earrings,luxury,fashion"
jf,"initials,personal,brand,short,design,creative"
jp.net,"japan,network,tech,internet,asia,tokyo,country"
jpn.com,"japan,commerce,business,asia,tokyo,japanese,country"
juegos,"games,spanish,play,online,fun,video,entertainment"
kaufen,"buy,german,shop,ecommerce,purchase,online,retail"
kids,"children,family,toys,play,education,parenting,fun"
kim,"name,personal,korean,brand,fashion,beauty,popular"
kitchen,"cooking,food,appliances,design,recipes,home,restaurant"
kiwi,"newzealand,fruit,bird,nz,downunder,nature,unique,country"
kj,"initials,personal,brand,short,creative,simple"
krd,"kurdish,kurdistan,culture,community,middleeast,news,people,country"
kyoto,"japan,city,culture,temples,history,travel,asia"
la,"losangeles,louisiana,laos,city,state,country,short,country"
land,"property,realestate,earth,ground,lots,acreage,territory"
lat,"latin,latino,latitude,america,spanish,culture,community,short"
law,"legal,attorney,justice,court,rules,legislation,bar,short"
lawyer,"legal,attorney,counsel,lawfirm,litigation,advice,bar"
lease,"rent,property,equipment,car,contract,agreement,finance"
legal,"law,attorney,justice,rights,court,documents,advice"
lgbt,"lesbian,gay,bisexual,transgender,queer,pride,equality"
li,"liechtenstein,list,link,personal,short,country"
life,"living,lifestyle,health,insurance,personal,bio,journey,short"
lifestyle,"living,health,fashion,travel,blog,personal,culture"
lighting,"lamps,bulbs,fixtures,design,led,home,stage"
limited,"company,exclusive,private,restricted,niche,ltd,business"
limo,"luxury,car,transport,chauffeur,service,executive,ride"
link,"connect,url,web,hyperlink,network,resources,chain,short"
live,"streaming,events,broadcast,realtime,concerts,performance,life"
living,"home,lifestyle,decor,residential,family,health,comfort"
llc,"business,company,limitedliability,corporate,startup,firm"
loan,"finance,credit,borrow,money,mortgage,debt,bank,short"
loans,"finance,credit,borrowing,money,mortgage,personal,student"
locker,"storage,secure,gym,personal,data,files,safety"
lol,"funny,humor,jokes,laugh,gaming,leagueoflegends,entertainment,short"
london,"uk,england,city,britain,europe,travel,business"
love,"romance,dating,relationships,heart,passion,family,charity"
ltd,"limited,company,business,uk,corporate,private,ireland,short"
ltda,"limitada,company,business,portuguese,spanish,southamerica,brazil"
luxury,"high-end,premium,elite,rich,expensive,fashion,travel"
maison,"home,house,french,fashion,decor,boutique,luxury"
makeup,"cosmetics,beauty,style,face,salon,artist,products"
management,"business,leadership,strategy,organization,project,team,ceo"
market,"stocks,finance,store,shop,trade,online,business"
marketing,"advertising,promo,digital,sales,branding,strategy,seo"
markets,"finance,stocks,trade,global,commodities,retail,online"
mba,"business,education,masters,degree,executive,management,school"
me,"personal,blog,profile,self,montenegro,short,country"
me.uk,"personal,uk,unitedkingdom,blog,profile,website,country"
media,"news,social,tv,radio,press,digital,content"
melbourne,"australia,city,victoria,travel,local,business,culture"
meme,"funny,internet,viral,image,humor,social,culture"
memorial,"tribute,remembrance,funeral,history,monument,legacy,honor"
men,"male,gentlemen,fashion,health,lifestyle,products,fathers"
menu,"food,restaurant,dining,list,options,online,digital"
mex.com,"mexico,commerce,business,northamerica,market,trade,country"
miami,"florida,city,usa,beach,travel,latino,business"
mobi,"mobile,responsive,phone,app,web,technology,portable"
moda,"fashion,style,clothing,italian,spanish,portuguese,trends"
moe,"anime,manga,japan,cute,culture,fan,kawaii,short"
mom,"mother,parenting,family,mama,women,children,support,short"
money,"finance,cash,currency,investment,wealth,banking,payment"
monster,"large,big,creature,job,powerful,gaming,brand"
mortgage,"home,loan,finance,property,realestate,housing,bank"
motorcycles,"bikes,harley,honda,riding,sport,cruiser,dirtbike"
mov,"movie,film,video,cinema,hollywood,entertainment,short"
movie,"film,cinema,hollywood,entertainment,streaming,reviews,theatre"
music,"songs,audio,artists,bands,concerts,streaming,radio"
mwallet,"mobile,wallet,payment,crypto,digital,finance,app"
mx,"mexico,mexican,northamerica,cancun,cdmx,short,country"
my,"personal,malaysia,blog,custom,self,account,short,country"
nagoya,"japan,city,aichi,travel,local,business,culture"
name,"personal,identity,brand,domain,family,reputation,online"
navy,"military,sea,ships,defense,maritime,sailor,fleet"
net,"network,internet,tech,online,web,isp,community"
net.au,"australia,network,tech,internet,connectivity,isp,country"
net.cn,"china,network,tech,internet,asia,isp,country"
net.im,"isleofman,network,tech,internet,europe,isp,country"
net.pe,"peru,network,tech,internet,southamerica,isp,country"
net.ph,"philippines,network,tech,internet,asia,isp,country"
net.vc,"stvincent,grenadines,network,tech,internet,caribbean,country"
network,"connections,social,community,internet,communication,system,tech"
new,"latest,fresh,updated,modern,news,product,release"
news,"current,events,media,journalism,report,information,updates"
nexus,"hub,center,connection,link,core,network,junction"
ngo,"nonprofit,charity,organization,humanitarian,global,social,aid"
ninja,"stealth,expert,skills,fast,warrior,japanese,tech"
nl,"netherlands,dutch,holland,europe,amsterdam,eu,short,country"
nom.es,"personal,spain,name,identity,website,profile,country"
now,"current,live,instant,today,immediate,realtime,urgent,short"
nu,"niue,new,nude,pacific,island,short,country"
nyc,"newyork,city,usa,manhattan,brooklyn,bigapple,short"
observer,"news,watchdog,media,journalism,commentary,analysis,monitor"
oflinewallet,"crypto,bitcoin,secure,offline,storage,cold,hardware"
okinawa,"japan,island,ryukyu,travel,culture,beach,history"
one,"single,unity,first,best,unique,together,primary,short"
ong,"nonprofit,organization,charity,french,spanish,portuguese,social"
onl,"online,web,internet,digital,short,virtual,connect"
online,"web,internet,digital,ecommerce,virtual,connected,live"
org,"organization,nonprofit,charity,community,global,group,public"
org.au,"australia,organization,nonprofit,charity,community,society,country"
org.cn,"china,organization,nonprofit,charity,community,society,country"
org.es,"spain,organization,nonprofit,charity,community,society,country"
org.im,"isleofman,organization,nonprofit,charity,community,society,country"
org.mx,"mexico,organization,nonprofit,charity,community,society,country"
org.pe,"peru,organization,nonprofit,charity,community,society,country"
org.ph,"philippines,organization,nonprofit,charity,community,society,country"
org.uk,"uk,unitedkingdom,organization,nonprofit,charity,community,country"
org.vc,"stvincent,grenadines,organization,nonprofit,charity,community,country"
osaka,"japan,city,kansai,travel,local,business,culture"
page,"webpage,document,site,single,landing,info,content"
paris,"france,city,europe,eiffel,fashion,travel,love"
partners,"business,collaboration,alliance,associates,team,joint,venture"
parts,"components,spares,auto,electronics,repair,pieces,supply"
party,"events,celebration,fun,social,political,gathering,music"
pe,"peru,physicaleducation,sport,lima,southamerica,short,country"
pet,"animals,dog,cat,veterinarian,food,care,supplies,short"
ph,"philippines,phone,acidity,chemistry,asia,manila,short,country"
phd,"doctorate,education,academic,research,degree,university,scholar"
photo,"image,picture,photography,camera,gallery,album,snapshot"
photography,"camera,photos,images,art,studio,pictures,photographer"
photos,"images,pictures,gallery,album,sharing,online,stock"
pics,"pictures,images,photos,gallery,informal,sharing,snaps"
pictures,"images,photos,art,gallery,stock,photography,visuals"
pink,"color,feminine,breastcancer,fashion,cute,girly,style"
pizza,"food,restaurant,delivery,italian,takeout,cheese,pepperoni"
place,"location,spot,venue,destination,area,site,space"
plumbing,"pipes,water,services,repair,contractor,drain,bathroom"
plus,"extra,more,premium,bonus,add,additional,benefit"
poker,"cards,gambling,casino,game,betting,texas,holdem"
press,"news,media,journalism,publish,report,release,conference"
pro,"professional,expert,services,skilled,advantage,master,specialist,short"
prodazha,"sale,russian,commerce,shop,market,sell,business"
productions,"film,music,video,theatre,event,media,creative"
prof,"professor,professional,expert,academic,teacher,consultant"
promo,"promotion,discount,sale,offer,marketing,advertising,deal"
properties,"realestate,housing,land,assets,investment,rental,commercial"
property,"realestate,housing,land,assets,ownership,legal,investment"
protection,"security,safety,insurance,defense,privacy,guard,secure"
pub,"bar,drinks,ale,beer,tavern,social,food,short"
pw,"professional,web,palau,business,online,site,short,country"
quest,"adventure,search,journey,mission,game,challenge,explore"
racing,"sports,cars,horses,speed,competition,track,motorsport"
realty,"realestate,property,homes,housing,agent,broker,sales"
recipes,"food,cooking,ingredients,meals,kitchen,chef,instructions"
red,"color,alert,passion,stop,love,danger,wine"
rehab,"recovery,health,therapy,addiction,treatment,support,wellness"
reise,"travel,german,journey,trip,vacation,tour,holiday"
reisen,"travels,german,journeys,trips,tours,holidays,booking"
rent,"lease,housing,property,car,equipment,temporary,hire"
rentals,"property,vacation,car,equipment,leasing,housing,shortterm"
repair,"fix,services,maintenance,mechanic,tech,home,auto"
report,"news,data,analysis,document,information,study,findings"
republican,"politics,party,usa,conservative,election,government,red"
rest,"relax,restaurant,break,sleep,peace,calm,leisure,short"
restaurant,"food,dining,eat,cuisine,menu,chef,cafe"
review,"critique,rating,opinion,feedback,assessment,test,analysis"
reviews,"ratings,opinions,feedback,customer,product,service,comparison"
rip,"memorial,restinpeace,data,file,death,obituary,short"
rocks,"stone,geology,music,climbing,hard,solid,minerals"
rodeo,"cowboy,western,sports,horses,bulls,events,culture"
rsvp,"invitation,reply,event,confirm,attend,party,yes,short"
run,"race,jogging,sports,fitness,marathon,track,dash,short"
sa.com,"saudiarabia,commerce,business,middleeast,riyadh,oil,country"
sale,"discount,shop,retail,clearance,offers,deals,commerce"
salon,"hair,beauty,spa,nails,style,cut,treatment"
sarl,"company,french,business,limited,liability,europe,luxembourg"
sats,"test,education,scholastic,aptitude,college,scores,crypto"
sbs,"broadcasting,business,services,korea,australia,small,strategy"
school,"education,learning,students,teacher,k12,college,academic"
schule,"school,german,education,learning,students,teacher,bildung"
science,"research,study,technology,biology,chemistry,physics,lab"
se.net,"sweden,network,tech,internet,europe,connectivity,country"
security,"safety,protection,cyber,data,guard,alarm,secure"
services,"business,professional,customer,support,online,help,solutions"
sg,"singapore,asia,lioncity,short,country"
sh,"sthelena,shell,script,short,brandable,country"
shiksha,"education,hindi,sanskrit,learning,knowledge,india,teaching"
shizzle,"slang,cool,trendy,fun,urban,my,entertainment"
shoes,"footwear,sneakers,boots,heels,sandals,fashion,style"
shop,"retail,store,ecommerce,buy,online,market,purchase"
shopping,"retail,online,ecommerce,mall,fashion,deals,buy"
show,"tv,entertainment,events,performance,display,exhibition,live,short"
simp,"simple,easy,basic,minimal,streamlined,direct,clear"
singles,"dating,unmarried,social,events,match,relationships,alone"
site,"website,web,online,internet,page,platform,presence"
ski,"sports,winter,snow,mountain,resort,poles,alpine,short"
skin,"beauty,dermatology,care,health,cosmetics,body,treatment,short"
so,"somalia,therefore,very,thus,conclusion,short,country"
soccer,"football,sports,game,fifa,league,ball,goal"
social,"media,network,community,friends,online,groups,events"
software,"apps,programs,code,tech,developer,saas,digital"
solar,"energy,power,renewable,sun,panels,green,eco"
solutions,"answers,services,business,tech,problem,strategy,results"
soy,"food,vegan,protein,spanish,i'm,identity,latin,short"
space,"outer,nasa,stars,planets,coworking,storage,room"
storage,"data,cloud,files,selfstorage,warehouse,memory,backup"
store,"shop,retail,ecommerce,market,online,business,goods"
stream,"video,live,music,online,media,broadcast,gaming"
studio,"art,design,music,photo,production,creative,film"
study,"education,learning,research,academic,school,knowledge,books"
style,"fashion,design,trend,beauty,decor,personal,manner"
substack,"newsletter,writing,publish,media,content,subscription,blog"
sucks,"complaints,negative,criticism,rant,problems,fail,bad"
supplies,"office,art,school,equipment,materials,tools,goods"
supply,"chain,logistics,distribution,goods,materials,vendor,procurement"
support,"help,customer,service,tech,assistance,charity,guidance"
supreme,"best,top,leader,ultimate,high,court,quality"
surf,"ocean,waves,beach,sports,board,water,riding"
surgery,"medical,operation,doctor,hospital,health,treatment,clinic"
sydney,"australia,city,nsw,opera,harbour,travel,local"
systems,"tech,it,software,network,organization,process,control"
tattoo,"ink,art,body,design,parlor,artist,needle"
tax,"finance,irs,government,revenue,accounting,fees,levy,short"
taxi,"cab,transport,ride,car,service,driver,urban,short"
team,"group,sports,work,collaboration,squad,club,project"
tech,"technology,it,software,digital,innovation,science,gadgets"
tel,"telephone,phone,communication,contact,telecom,voip,short"
tennis,"sports,racket,ball,court,wimbledon,usopen,game"
theater,"stage,play,acting,drama,performance,show,arts"
theatre,"stage,play,acting,drama,performance,show,arts"
tickets,"events,concert,travel,movie,booking,entry,pass"
tienda,"shop,store,spanish,retail,ecommerce,market,buy"
tips,"advice,hints,guide,help,suggestions,tricks,info,short"
tires,"auto,wheels,car,rubber,vehicle,repair,truck"
to,"destination,direction,action,tokelau,short,country"
today,"now,current,daily,news,events,present,date"
